"","city","n","country","lat","long"
"292","Courteenhall",3,"United Kingdom",52.1705656,-0.8822032
"293","Croft",3,"United Kingdom",53.1307519,0.2533976
"294","Crowland",3,"United Kingdom",52.675299,-0.1685608
"295","Croxton",3,"United Kingdom",52.4474701,0.7555784
"296","Dalderby",3,"United Kingdom",53.1770547,-0.1328685
"297","Denford",3,"United Kingdom",52.37832,-0.5433848
"298","Doddington",3,"United Kingdom",52.4975308,0.0603807
"299","Donington",3,"United Kingdom",52.9046401,-0.206098
"300","Dunton",3,"United Kingdom",52.0833347,-0.1963257
"301","Edmondthorpe",3,"United Kingdom",52.7497621,-0.7274336
"302","Egremont",3,"United Kingdom",54.4838316,-3.5327921
"303","Eresby",3,"United Kingdom",NA,NA
"304","Essendon",3,"United Kingdom",51.762891,-0.15423
"305","Everdon",3,"United Kingdom",52.2138067,-1.1344154
"306","Exeter",3,"United Kingdom",50.725562,-3.5269108
"307","Firsby",3,"United Kingdom",53.1442864,0.1744662
"308","Flamstead",3,"United Kingdom",51.8191023,-0.4387736
"309","Folkingham",3,"United Kingdom",52.8897079,-0.4085024
"310","Garthorpe",3,"United Kingdom",52.7795803,-0.7651441
"311","Gosberton",3,"United Kingdom",52.869059,-0.161089
"312","Great Linford",3,"United Kingdom",52.0717778,-0.7600445
"313","Greatford",3,"United Kingdom",52.6946463,-0.392001
"314","Hallaton",3,"United Kingdom",52.5617485,-0.83554
"315","Hallington",3,"United Kingdom",53.350578,-0.0415659
"316","Hampton Poyle",3,"United Kingdom",51.8370746,-1.2730362
"317","Harlaxton",3,"United Kingdom",52.8840417,-0.686898
"318","Hatcliffe",3,"United Kingdom",53.4891174,-0.1723789
"319","Haversham",3,"United Kingdom",52.0759306,-0.804732
"320","Heather",3,"United Kingdom",52.6931702,-1.4239897
"321","Hedges",3,"United Kingdom",52.0276459,-1.18565614602424
"322","Hemingby",3,"United Kingdom",53.2534359,-0.1461344
"323","Henley",3,"United Kingdom",51.5375786,-0.9050287
"324","Hertingfordbury",3,"United Kingdom",51.7909737,-0.1062996
"325","Hitchin",3,"United Kingdom",51.9464129,-0.2791646
"326","Holton",3,"United Kingdom",52.3426095,1.5271935
"327","Houghton",3,"United Kingdom",52.330324,-0.1150244
"328","Ipsden",3,"United Kingdom",51.5635127,-1.0834514
"329","Ipswich",3,"United Kingdom",52.0579495,1.1526345
"330","Irthlingborough",3,"United Kingdom",52.3261928,-0.6128414
"331","Isenhamstead Chenies",3,"United Kingdom",NA,NA
"332","Iver",3,"United Kingdom",51.5207742,-0.5092417
"333","Kegworth",3,"United Kingdom",52.8355376,-1.2779346
"334","Keyston",3,"United Kingdom",52.3662058,-0.4684638
"335","Kings Cliffe",3,"United Kingdom",52.5657117,-0.5208584
"336","Kirby Bellars",3,"United Kingdom",52.7521539,-0.9388857
"337","Kirkby Laythorpe",3,"United Kingdom",NA,NA
"338","Leckhampstead",3,"United Kingdom",51.4848305,-1.3688493
"339","Little Billing",3,"United Kingdom",52.2547676,-0.814322254231545
"340","Littlemore",3,"United Kingdom",51.7215188,-1.2244863
"341","Louth Park",3,"United Kingdom",53.3675163,-0.0022381
"342","Ludford Parva",3,"United Kingdom",53.3839145,-0.203441
"343","Marholm",3,"United Kingdom",52.604129,-0.3068511
"344","Marston Moretaine",3,"United Kingdom",52.0698414,-0.5414541
"345","Martinsthorpe",3,"United Kingdom",52.63161825,-0.725635386875608
"346","Medboume",3,"United Kingdom",NA,NA
"347","Melton Mowbray",3,"United Kingdom",52.7649964,-0.887587
"348","Mere",3,"United Kingdom",51.0894379,-2.2684427
"349","Middleton Cheney",3,"United Kingdom",52.0740489,-1.2728199
"350","Moulton",3,"United Kingdom",51.4222089,-3.3338837
"351","Newcastle upon Tyne",3,"United Kingdom",54.9738474,-1.6131572
